aitifs;?;;;
aitoira;?;;;
aitre;rel-uniq;parvis de l'église;;
aitres;rel-uniq;parvis de l'église;;
aiude;abs;;;
aiude;abs;;;
aiudha;abs;;;
aiue;abs;;;
aiue;abs;;;
aiueres;?;;;
aiues;abs;;;
aiues;abs;;;
aiugnemenz;mass;;;
aiungnemenz;mass;;;
aiuor;ind;;;
aiuverés;?;;;
aive;ind;;;
aiwe;ind;;;
aiwel;ind;;;
aiwes;ind;;;
aix;?;;;
aiza;?;;;
ajant;?;;;
ajornee;ind;;;
ajorner;ind;;;
ajostement;;;;
ajournee;ind;;;
ajournement;ind;;;
ajournement;ind;;;
ajue;?;;;
ajuerre;?;;;
ajunte;?;;;
AJUR;ind;;;
ajurnee;ind;;;
AJURNEE;ind;;;
ajurner;ind;;;
ajustee;?;;;
ajutore;?;;;
al;?;;;
Alabandica;?;;;
Alabastron;?;;;
Alabaustre;mass;;;
Alain;mass;;;
alaine;mass;;;
alainne;mass;;;
alainnes;mass;;;
alais;?;;;
alaisnes;?;;;
alaitant;ind;;;
alaitanz;ind;;;
alamanda;ind;;;
Alamandine;ind;;;
alans;ind;;;
alant;ind;;;
alanz;ind;;;
Alarme;event;;;
alarme;event;;;
alarmes;event;;;
alayne;mass;;;
alaynes;mass;;;
alb+e;?;;;
Albanoys;ind;;;
albanoys;ind;;;
albe;rel-uniq;;;
albes;rel-uniq;;;
albeyes;ind;;;
albines;?;;;
albor;mass;;;
ale;ind;;;
Alectoires;ind;;;
alectorés;ind;;;
Alectorias;ind;;;
alee;ind;;;
alée;ind;;;
alees;ind;;;
alées;ind;;;
alegance;event;;;
alegement;event;?;;
alegrance;abs;;;
alehadin;?;;;
aleine;mass;;;
aleinne;mass;;;
aleiz;abs;;;
Aleman;ind;;;
alemanda;ind;;;
Alemandina;?;;;
Alemans;ind;;;
alemans;ind;;;
Alemant;ind;;;
alemant;ind;;;
Ale?mant;ind;;;
alemanz;ind;;;
alemele;ind;;;
alemelë;ind;;;
alemelle;ind;;;
alemelles;ind;;;
alement;event;;;
aleoirs;ind;;;
aleors;ind;;;
aler;event;;;
alerion;ind;;;
alerïons;ind;;;
Alerites;?;;;
alers;event;;;
ales;ind;;;
alesnes;ind;;;
ales?nes;ind;;;
aleu;ind;;;
aleür;event;;;
aleure;event;;;
aleüre;event;;;
ALEÜRE;event;;;
aleüres;event;;;
Alexandrinois;?;;;
Alexandrins;?;;;
aleyne;abs;;;
aleyne;abs;;;
algalife;uniq;;;
algalifes;uniq;;;
algeir;?;;;
algier;?;;;
aliance;abs;?;;
alïance;abs;;;
alïance;abs;;;
aliances;abs;;;
alianse;abs;;;
alibiz;ind;;;
alices;?;;;
alie;mass;;;
aliegement;event;;;
aliement;event;;;
alïen;?;;;
alieuz;?;;;
aliéz;?;;;
aligement;event;;;
aliiés;?;;;
alines;?;;;
alis;?;;;
Alixandre;na;;;
alkes;ind;;;
allaine;abs;;;
allaine;abs;;;
allaitanz;ind;;;
alle;?;;;
Allectorie;?;;;
allectorie;?;;;
allée;ind;;;
allées;ind;;;
allegacion;event;;;
allegations;event;;;
allegence;event;;;
allegorie;abs;;;
allelues;ind;;;
Alleluya;ind;;;
Allemands;ind;;;
Allemans;ind;;;
aller;event;;;
alleures;event;;;
alliance;event;;;
alliances;event;;;
alliez;ind;;;
alliéz;ind;;;
Allobrogois;ind;;;
Allópheles;ind;;;
allyance;event;;;
allyances;event;;;
allyé;ind;;;
almaçur;ind;;;
almaçurs;ind;;;
almaille;mass;;;
Almans;ind;;;
almarie;mass;;;
alme;rel-uniq;;;
alment;abs;;;
almes;?;;;
almodnes;?;;;
almodnier;?;;;
almoine;mass;;;
