noun;cardinality;type;textfile;id
cruz;30;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,109.165
cor;29;rel-uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,99.32
Judeus;28;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,102.69
cruz;27;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,110.186
di;27;uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,117.267
om;26;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,116.262
fidel;24;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,121.318
monument;22;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,117.273
Judeu;21;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,109.160
morz;20;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,96.11
Judeus;20;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,101.56
monument;19;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,116.258
raizon;18;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,121.320
fidel;18;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,122.343
bons;17;mass;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,107.137
enfan;16;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,99.31
fidel;16;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,123.358
om;15;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,115.249
bons;14;mass;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,105.104
emperador;14;rel-uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,109.172
fidels;14;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,124.373
mal;13;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,122.346
mund;12;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,124.369
fidels;11;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,102.66
femnes;11;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,118.286
fidels;10;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,103.81
forsfait;9;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,106.123
Judeu;9;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,108.153
mund;9;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,124.381
manjer;8;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,101.62
fidels;8;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,102.74
terra;7;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,114.235
dol;7;abs;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,115.245
om;7;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,115.245
corps;7;rel-uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,115.251
enfern;7;uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,117.275
di;6;uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,120.308
Judeus;5;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,100.50
fellon;4;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,107.128
fellun;4;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,110.177
cruz;4;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,112.210
di;4;uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,113.222
nona;4;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,114.227
honor;4;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,115.252
pechet;4;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,118.279
enfern;4;uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,118.282
Judeu;3;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,101.54
bons;3;mass;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,104.101
serv;3;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,105.112
escarn;3;abs;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,112.212
mercit;3;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,113.223
carn;3;mass;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,115.245
monument;3;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,118.286
fidel;3;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,120.314
dis;2;event;1000-passion-bfm-p.psd;not found
pan;2;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,102.65
vin;2;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,102.65
sopa;2;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,102.66
sudor;2;;1000-passion-bfm-p.psd;not found
aurelia;2;na;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,105.113
om;2;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,118.279
peison;2;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,121.329
asne;1;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,97.17
mantelz;1;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,97.18
dis;1;event;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,97.20
gran;1;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,98.26
petit;1;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,98.26
Judeus;1;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,104.90
obs;1;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,111.195
sanz;1;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,114.238
carn;1;mass;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,115.244
pavor;1;;1000-passion-bfm-p.psd;not found
raizun;0;;1000-passion-bfm-p.psd;
affanz;0;ind;1000-passion-bfm-p.psd;
Peccad;0;;1000-passion-bfm-p.psd;
nostres;0;;1000-passion-bfm-p.psd;
vida;0;;1000-passion-bfm-p.psd;
ciutat;0;ind;1000-passion-bfm-p.psd;
sos;0;;1000-passion-bfm-p.psd;
asnez;0;ind;1000-passion-bfm-p.psd;
mantelz;0;;1000-passion-bfm-p.psd;
vestit;0;;1000-passion-bfm-p.psd;
assis;0;event;1000-passion-bfm-p.psd;
humilitad;0;;1000-passion-bfm-p.psd;
prophetes;0;;1000-passion-bfm-p.psd;
moniment;0;;1000-passion-bfm-p.psd;
reis;0;;1000-passion-bfm-p.psd;
morz;0;;1000-passion-bfm-p.psd;
palmes;0;;1000-passion-bfm-p.psd;
rames;0;;1000-passion-bfm-p.psd;
olivers;0;;1000-passion-bfm-p.psd;
branches;0;ind;1000-passion-bfm-p.psd;
poples;0;;1000-passion-bfm-p.psd;
Palis;0;;1000-passion-bfm-p.psd;
vestit;0;;1000-passion-bfm-p.psd;
palis;0;;1000-passion-bfm-p.psd;
mantenls;0;;1000-passion-bfm-p.psd;
pez;0;;1000-passion-bfm-p.psd;
folcs;0;;1000-passion-bfm-p.psd;
petit;0;;1000-passion-bfm-p.psd;
ciptad;0;ind;1000-passion-bfm-p.psd;
pechet;0;;1000-passion-bfm-p.psd;
orgolz;0;;1000-passion-bfm-p.psd;
inimic;0;;1000-passion-bfm-p.psd;
enfanz;0;ind;1000-passion-bfm-p.psd;
penas;0;;1000-passion-bfm-p.psd;
murs;0;;1000-passion-bfm-p.psd;
maisons;0;;1000-passion-bfm-p.psd;
pedra;0;;1000-passion-bfm-p.psd;
caitiu;0;ind;1000-passion-bfm-p.psd;
genz;0;;1000-passion-bfm-p.psd;
tormenz;0;;1000-passion-bfm-p.psd;
marchedant;0;;1000-passion-bfm-p.psd;
destreit;0;ind;1000-passion-bfm-p.psd;
talant;0;;1000-passion-bfm-p.psd;
pavors;0;;1000-passion-bfm-p.psd;
corda;0;ind;1000-passion-bfm-p.psd;
marched;0;;1000-passion-bfm-p.psd;
cors;0;rel-uniq;1000-passion-bfm-p.psd;
envie;0;abs;1000-passion-bfm-p.psd;
conselz;0;ind;1000-passion-bfm-p.psd;
tradissant;0;;1000-passion-bfm-p.psd;
rebost;0;;1000-passion-bfm-p.psd;
talenz;0;;1000-passion-bfm-p.psd;
deners;0;ind;1000-passion-bfm-p.psd;
merz;0;;1000-passion-bfm-p.psd;
hom;0;;1000-passion-bfm-p.psd;
cena;0;ind;1000-passion-bfm-p.psd;
fedels;0;ind;1000-passion-bfm-p.psd;
saccrament;0;;1000-passion-bfm-p.psd;
pan;0;;1000-passion-bfm-p.psd;
sopa;0;;1000-passion-bfm-p.psd;
gola;0;;1000-passion-bfm-p.psd;
manjer;0;;1000-passion-bfm-p.psd;
peiz;0;;1000-passion-bfm-p.psd;
sopar;0;;1000-passion-bfm-p.psd;
sermon;0;;1000-passion-bfm-p.psd;
tal;0;;1000-passion-bfm-p.psd;
marrimenz;0;;1000-passion-bfm-p.psd;
sags;0;;1000-passion-bfm-p.psd;
sudor;0;;1000-passion-bfm-p.psd;
gutes;0;;1000-passion-bfm-p.psd;
compannie;0;ind;1000-passion-bfm-p.psd;
Judeus;0;;1000-passion-bfm-p.psd;
ez;0;ind;1000-passion-bfm-p.psd;
felun;0;ind;1000-passion-bfm-p.psd;
aproismad;0;?;1000-passion-bfm-p.psd;
fei;0;abs;1000-passion-bfm-p.psd;
menton;0;;1000-passion-bfm-p.psd;
tradetur;0;;1000-passion-bfm-p.psd;
baisair;0;uniq;1000-passion-bfm-p.psd;
Amicx;0;ind;1000-passion-bfm-p.psd;
baisol;0;ind;1000-passion-bfm-p.psd;
cobetad;0;?;1000-passion-bfm-p.psd;
Armand;0;na;1000-passion-bfm-p.psd;
part;0;;1000-passion-bfm-p.psd;
anels;0;ind;1000-passion-bfm-p.psd;
fer;0;;1000-passion-bfm-p.psd;
aurelia;0;na;1000-passion-bfm-p.psd;
serv;0;;1000-passion-bfm-p.psd;
ladron;0;;1000-passion-bfm-p.psd;
fedel;0;ind;1000-passion-bfm-p.psd;
fin;0;;1000-passion-bfm-p.psd;
felon;0;ind;1000-passion-bfm-p.psd;
ested;0;rel-uniq;1000-passion-bfm-p.psd;
pontifex;0;;1000-passion-bfm-p.psd;
fied;0;;1000-passion-bfm-p.psd;
fils;0;;1000-passion-bfm-p.psd;
forsfait;0;;1000-passion-bfm-p.psd;
ols;0;;1000-passion-bfm-p.psd;
prophete;0;;1000-passion-bfm-p.psd;
estras;0;ind;1000-passion-bfm-p.psd;
useire;0;;1000-passion-bfm-p.psd;
